회계연도,회계월,제품코드,제품명,원가구분,금액
2026,6,P001,정밀모듈 A,원재료비,1000000000
2026,6,P001,정밀모듈 A,외주가공비,200000000
2026,6,P001,정밀모듈 A,직접노무비,150000000
2026,6,P001,정밀모듈 A,수도광열비,50000000
2026,6,P001,정밀모듈 A,감가상각비,50000000
2026,6,P002,정밀모듈 B,원재료비,720000000
2026,6,P002,정밀모듈 B,외주가공비,160000000
2026,6,P002,정밀모듈 B,직접노무비,130000000
2026,6,P002,정밀모듈 B,수도광열비,40000000
2026,6,P002,정밀모듈 B,감가상각비,50000000
2026,6,P003,센서모듈 C,원재료비,400000000
2026,6,P003,센서모듈 C,외주가공비,80000000
2026,6,P003,센서모듈 C,직접노무비,100000000
2026,6,P003,센서모듈 C,수도광열비,30000000
2026,6,P003,센서모듈 C,감가상각비,40000000
2026,7,P001,정밀모듈 A,원재료비,1060000000
2026,7,P001,정밀모듈 A,외주가공비,200000000
2026,7,P001,정밀모듈 A,직접노무비,150000000
2026,7,P001,정밀모듈 A,수도광열비,50000000
2026,7,P001,정밀모듈 A,감가상각비,40000000
2026,7,P002,정밀모듈 B,원재료비,780000000
2026,7,P002,정밀모듈 B,외주가공비,170000000
2026,7,P002,정밀모듈 B,직접노무비,130000000
2026,7,P002,정밀모듈 B,수도광열비,40000000
2026,7,P002,정밀모듈 B,감가상각비,40000000
2026,7,P003,센서모듈 C,원재료비,410000000
2026,7,P003,센서모듈 C,외주가공비,80000000
2026,7,P003,센서모듈 C,직접노무비,100000000
2026,7,P003,센서모듈 C,수도광열비,40000000
2026,7,P003,센서모듈 C,감가상각비,40000000
