회계연도,회계월,매출일자,고객코드,고객명,제품코드,제품명,수량,판매단가,매출액
2026,6,2026-06-30,C001,대한전자,P001,정밀모듈 A,10000,150000,1500000000
2026,6,2026-06-30,C002,한성테크,P001,정밀모듈 A,5000,150000,750000000
2026,6,2026-06-30,C001,대한전자,P002,정밀모듈 B,8000,120000,960000000
2026,6,2026-06-30,C003,세진산업,P002,정밀모듈 B,7000,120000,840000000
2026,6,2026-06-30,C002,한성테크,P003,센서모듈 C,5000,100000,500000000
2026,6,2026-06-30,C003,세진산업,P003,센서모듈 C,4500,100000,450000000
2026,7,2026-07-31,C001,대한전자,P001,정밀모듈 A,9000,148000,1332000000
2026,7,2026-07-31,C002,한성테크,P001,정밀모듈 A,5000,148000,740000000
2026,7,2026-07-31,C001,대한전자,P002,정밀모듈 B,8500,118000,1003000000
2026,7,2026-07-31,C003,세진산업,P002,정밀모듈 B,7000,118000,826000000
2026,7,2026-07-31,C002,한성테크,P003,센서모듈 C,5500,100000,550000000
2026,7,2026-07-31,C003,세진산업,P003,센서모듈 C,3990,100000,399000000
