회계연도,회계월,부서코드,부서명,계정코드,계정과목,거래처코드,거래처명,금액
2026,6,D100,영업팀,811100,운반비,V001,대한물류,120000000
2026,6,D100,영업팀,811200,광고선전비,V002,브랜드미디어,180000000
2026,6,D100,영업팀,811300,판매수수료,V003,세일즈파트너,150000000
2026,6,D100,영업팀,821100,급여,V900,임직원,250000000
2026,6,D200,연구개발팀,821100,급여,V900,임직원,200000000
2026,6,D300,경영지원팀,821100,급여,V900,임직원,160000000
2026,6,D300,경영지원팀,831100,지급수수료,V004,한국회계자문,80000000
2026,6,D300,경영지원팀,831200,복리후생비,V005,복지서비스,60000000
2026,6,D300,경영지원팀,831300,지급임차료,V006,한빛빌딩,80000000
2026,7,D100,영업팀,811100,운반비,V001,대한물류,180000000
2026,7,D100,영업팀,811200,광고선전비,V002,브랜드미디어,30000000
2026,7,D100,영업팀,811300,판매수수료,V003,세일즈파트너,130000000
2026,7,D100,영업팀,821100,급여,V900,임직원,250000000
2026,7,D200,연구개발팀,821100,급여,V900,임직원,180000000
2026,7,D300,경영지원팀,821100,급여,V900,임직원,150000000
2026,7,D300,경영지원팀,831100,지급수수료,V004,한국회계자문,70000000
2026,7,D300,경영지원팀,831200,복리후생비,V005,복지서비스,50000000
2026,7,D300,경영지원팀,831300,지급임차료,V006,한빛빌딩,80000000
